·¥Ä¾³¡,Äà¿Ó,Ìú¿ó³¡,Å©³¡,(x:y):id,¾àÀë
4,4,4,6,[28:-44]:356073,12.206556
4,4,4,6,[28:-40]:352869,9.219544
5,3,4,6,[29:-44]:356074,11.661904
4,5,3,6,[28:-38]:351267,8.062258
4,5,3,6,[26:-36]:349663,9.219544
5,3,4,6,[30:-38]:351269,6.403124
3,4,5,6,[28:-36]:349665,7.280110
4,5,3,6,[29:-38]:351268,7.211103
4,5,3,6,[30:-35]:348866,5.099020
3,4,5,6,[30:-36]:349667,5.385165
4,4,4,6,[31:-41]:353673,8.062258
4,5,3,6,[31:-36]:349668,4.472136
5,3,4,6,[32:-44]:356077,10.440307
5,3,4,6,[33:-44]:356078,10.198039
4,5,3,6,[31:-39]:352071,6.403124
3,4,5,6,[31:-42]:354474,8.944272
4,4,4,6,[31:-40]:352872,7.211103
3,4,5,6,[31:-34]:348066,4.000000
4,4,4,6,[25:-41]:353667,12.206556
4,4,4,6,[32:-40]:352873,6.708204
4,5,3,6,[32:-42]:354475,8.544004
4,4,4,6,[33:-42]:354476,8.246211
4,4,4,6,[32:-38]:351271,5.000000
4,4,4,6,[33:-41]:353675,7.280110
5,3,4,6,[33:-40]:352874,6.324555
4,5,3,6,[33:-39]:352073,5.385165
4,5,3,6,[33:-38]:351272,4.472136
3,4,5,6,[27:-40]:352868,10.000000
5,3,4,6,[31:-44]:356076,10.770330
3,4,5,6,[34:-43]:355278,9.055385
3,3,3,9,[34:-41]:353676,7.071068
3,4,5,6,[34:-40]:352875,6.082763
4,4,4,6,[33:-43]:355277,9.219544
4,4,4,6,[34:-42]:354477,8.062258
5,3,4,6,[29:-34]:348064,6.000000
4,4,4,6,[35:-42]:354478,8.000000
4,4,4,6,[36:-41]:353678,7.071068
4,4,4,6,[36:-40]:352877,6.082763
4,4,4,6,[35:-44]:356080,10.000000
3,4,5,6,[34:-38]:351273,4.123106
4,5,3,6,[35:-38]:351274,4.000000
4,5,3,6,[27:-34]:348062,8.000000
4,4,4,6,[29:-39]:352069,7.810250
4,5,3,6,[36:-44]:356081,10.049876
3,4,5,6,[35:-39]:352075,5.000000
4,5,3,6,[38:-44]:356083,10.440307
4,5,3,6,[35:-41]:353677,7.000000
3,4,5,6,[38:-43]:355282,9.486833
4,4,4,6,[32:-39]:352072,5.830952
5,3,4,6,[31:-43]:355275,9.848858
5,3,4,6,[38:-41]:353680,7.615773
4,4,4,6,[37:-42]:354480,8.246211
4,4,4,6,[37:-38]:351276,4.472136
3,4,5,6,[37:-41]:353679,7.280110
4,4,4,6,[32:-43]:355276,9.486833
4,5,3,6,[38:-39]:352078,5.830952
3,4,5,6,[31:-38]:351270,5.656854
3,4,5,6,[37:-43]:355281,9.219544
3,4,5,6,[38:-40]:352879,6.708204
3,4,5,6,[37:-39]:352077,5.385165
3,4,5,6,[26:-29]:344056,10.295630
3,4,5,6,[25:-24]:340050,14.142136
5,3,4,6,[26:-26]:341653,12.041595
4,5,3,6,[26:-25]:340852,12.727922
3,4,5,6,[25:-27]:342453,12.206556
3,4,5,6,[25:-30]:344856,10.770330
3,4,5,6,[26:-24]:340051,13.453624
4,5,3,6,[27:-27]:342455,10.630146
4,4,4,6,[26:-27]:342454,11.401754
4,4,4,6,[25:-28]:343254,11.661904
4,4,4,6,[28:-30]:344859,8.062258
3,4,5,6,[28:-28]:343257,9.219544
4,5,3,6,[27:-28]:343256,10.000000
4,4,4,6,[28:-27]:342456,9.899495
3,4,5,6,[28:-25]:340854,11.401754
4,4,4,6,[28:-24]:340053,12.206556
3,4,5,6,[25:-25]:340851,13.453624
5,3,4,6,[26:-28]:343255,10.816654
5,3,4,6,[29:-29]:344059,7.810250
4,5,3,6,[28:-29]:344058,8.602325
3,4,5,6,[35:-40]:352876,6.000000
3,4,5,6,[29:-26]:341656,10.000000
4,5,3,6,[29:-25]:340855,10.816654
5,3,4,6,[29:-24]:340054,11.661904
4,5,3,6,[27:-29]:344057,9.433981
3,4,5,6,[30:-34]:348065,5.000000
4,5,3,6,[30:-27]:342458,8.602325
3,4,5,6,[30:-26]:341657,9.433981
5,3,4,6,[30:-25]:340856,10.295630
4,5,3,6,[28:-26]:341655,10.630146
5,3,4,6,[31:-26]:341658,8.944272
5,3,4,6,[32:-30]:344863,5.000000
5,3,4,6,[32:-29]:344062,5.830952
4,5,3,6,[26:-30]:344857,9.848858
5,3,4,6,[29:-30]:344860,7.211103
4,5,3,6,[31:-29]:344061,6.403124
3,4,5,6,[25:-29]:344055,11.180340
4,5,3,6,[32:-27]:342460,7.615773
4,4,4,6,[30:-24]:340055,11.180340
4,5,3,6,[32:-25]:340858,9.486833
4,5,3,6,[32:-24]:340057,10.440307
4,5,3,6,[33:-30]:344864,4.472136
5,3,4,6,[33:-29]:344063,5.385165
4,5,3,6,[33:-28]:343262,6.324555
3,4,5,6,[32:-28]:343261,6.708204
5,3,4,6,[31:-25]:340857,9.848858
4,5,3,6,[30:-29]:344060,7.071068
3,4,5,6,[34:-27]:342462,7.071068
4,4,4,6,[33:-26]:341660,8.246211
5,3,4,6,[34:-25]:340860,9.055385
5,3,4,6,[34:-24]:340059,10.049876
3,4,5,6,[33:-25]:340859,9.219544
5,3,4,6,[34:-30]:344865,4.123106
4,4,4,6,[35:-30]:344866,4.000000
4,5,3,6,[27:-24]:340052,12.806248
3,4,5,6,[35:-29]:344065,5.000000
3,4,5,6,[35:-28]:343264,6.000000
5,3,4,6,[34:-28]:343263,6.082763
3,4,5,6,[35:-26]:341662,8.000000
3,4,5,6,[34:-29]:344064,5.099020
4,5,3,6,[35:-24]:340060,10.000000
4,5,3,6,[36:-29]:344066,5.099020
5,3,4,6,[36:-28]:343265,6.082763
3,4,5,6,[29:-40]:352870,8.485281
3,4,5,6,[33:-27]:342461,7.280110
3,4,5,6,[30:-28]:343259,7.810250
3,4,5,6,[35:-43]:355279,9.000000
4,5,3,6,[37:-25]:340863,9.219544
3,4,5,6,[30:-30]:344861,6.403124
3,4,5,6,[36:-24]:340061,10.049876
3,4,5,6,[38:-30]:344869,5.000000
5,3,4,6,[31:-30]:344862,5.656854
4,4,4,6,[38:-28]:343267,6.708204
5,3,4,6,[36:-26]:341663,8.062258
5,3,4,6,[36:-27]:342464,7.071068
3,4,5,6,[37:-28]:343266,6.324555
3,4,5,6,[36:-25]:340862,9.055385
5,3,4,6,[37:-26]:341664,8.246211
5,3,4,6,[39:-40]:352880,7.211103
4,4,4,6,[39:-39]:352079,6.403124
3,4,5,6,[32:-41]:353674,7.615773
4,5,3,6,[40:-44]:356085,11.180340
5,3,4,6,[39:-44]:356084,10.770330
4,4,4,6,[40:-43]:355284,10.295630
4,4,4,6,[40:-42]:354483,9.433981
3,3,3,9,[38:-24]:340063,10.440307
3,4,5,6,[40:-39]:352080,7.071068
3,4,5,6,[40:-38]:351279,6.403124
3,4,5,6,[41:-43]:355285,10.816654
3,4,5,6,[41:-42]:354484,10.000000
3,4,5,6,[40:-41]:353682,8.602325
4,4,4,6,[41:-41]:353683,9.219544
4,5,3,6,[39:-38]:351278,5.656854
3,4,5,6,[41:-39]:352081,7.810250
4,4,4,6,[41:-38]:351280,7.211103
3,4,5,6,[38:-25]:340864,9.486833
3,4,5,6,[42:-42]:354485,10.630146
3,4,5,6,[38:-27]:342466,7.615773
4,4,4,6,[42:-40]:352883,9.219544
4,4,4,6,[42:-41]:353684,9.899495
5,3,4,6,[38:-26]:341665,8.544004
3,4,5,6,[42:-44]:356087,12.206556
4,5,3,6,[34:-26]:341661,8.062258
5,3,4,6,[40:-40]:352881,7.810250
3,4,5,6,[43:-39]:352083,9.433981
5,3,4,6,[42:-38]:351281,8.062258
4,5,3,6,[36:-39]:352076,5.099020
3,4,5,6,[44:-42]:354487,12.041595
3,4,5,6,[42:-39]:352082,8.602325
3,4,5,6,[43:-41]:353685,10.630146
5,3,4,6,[45:-41]:353687,12.206556
5,3,4,6,[45:-42]:354488,12.806248
4,5,3,6,[38:-29]:344068,5.830952
4,5,3,6,[45:-40]:352886,11.661904
3,3,3,9,[44:-41]:353686,11.401754
3,4,5,6,[45:-39]:352085,11.180340
5,3,4,6,[45:-38]:351284,10.770330
4,4,4,6,[38:-38]:351277,5.000000
4,5,3,6,[31:-24]:340056,10.770330
3,4,5,6,[39:-37]:350477,5.000000
4,4,4,6,[39:-35]:348875,4.123106
5,3,4,6,[39:-34]:348074,4.000000
3,4,5,6,[45:-43]:355289,13.453624
4,4,4,6,[41:-40]:352882,8.485281
3,4,5,6,[39:-41]:353681,8.062258
4,4,4,6,[41:-44]:356086,11.661904
4,5,3,6,[41:-37]:350479,6.708204
3,4,5,6,[39:-32]:346472,4.472136
4,5,3,6,[40:-34]:348075,5.000000
5,3,4,6,[39:-31]:345671,5.000000
3,4,5,6,[41:-33]:347275,6.082763
5,3,4,6,[41:-35]:348877,6.082763
3,4,5,6,[41:-32]:346474,6.324555
5,3,4,6,[41:-31]:345673,6.708204
3,4,5,6,[40:-33]:347274,5.099020
4,4,4,6,[42:-36]:349679,7.280110
4,5,3,6,[41:-34]:348076,6.000000
5,3,4,6,[42:-33]:347276,7.071068
4,5,3,6,[43:-44]:356088,12.806248
4,4,4,6,[42:-37]:350480,7.615773
4,4,4,6,[43:-34]:348078,8.000000
5,3,4,6,[39:-36]:349676,4.472136
4,4,4,6,[43:-32]:346476,8.246211
4,4,4,6,[43:-31]:345675,8.544004
4,4,4,6,[43:-42]:354486,11.313708
3,4,5,6,[42:-32]:346475,7.280110
4,4,4,6,[36:-38]:351275,4.123106
4,5,3,6,[39:-42]:354482,8.944272
3,4,5,6,[45:-34]:348080,10.000000
3,3,3,9,[45:-33]:347279,10.049876
4,5,3,6,[42:-35]:348878,7.071068
3,4,5,6,[40:-35]:348876,5.099020
5,3,4,6,[45:-31]:345677,10.440307
4,4,4,6,[44:-32]:346477,9.219544
4,5,3,6,[44:-31]:345676,9.486833
4,5,3,6,[39:-28]:343268,7.211103
3,4,5,6,[43:-36]:349680,8.246211
5,3,4,6,[45:-36]:349682,10.198039
5,3,4,6,[39:-24]:340064,10.770330
4,4,4,6,[45:-35]:348881,10.049876
5,3,4,6,[45:-32]:346478,10.198039
3,4,5,6,[40:-24]:340065,11.180340
3,4,5,6,[44:-35]:348880,9.055385
4,4,4,6,[41:-28]:343270,8.485281
4,5,3,6,[41:-26]:341668,10.000000
5,3,4,6,[39:-25]:340865,9.848858
4,4,4,6,[40:-27]:342468,8.602325
4,4,4,6,[40:-26]:341667,9.433981
3,4,5,6,[42:-29]:344072,8.602325
5,3,4,6,[42:-30]:344873,8.062258
5,3,4,6,[42:-25]:340868,11.401754
4,5,3,6,[41:-29]:344071,7.810250
3,4,5,6,[42:-24]:340067,12.206556
3,4,5,6,[43:-28]:343272,10.000000
4,5,3,6,[43:-26]:341670,11.313708
4,4,4,6,[43:-37]:350481,8.544004
4,5,3,6,[43:-25]:340869,12.041595
5,3,4,6,[43:-30]:344874,8.944272
3,4,5,6,[44:-30]:344875,9.848858
4,5,3,6,[44:-34]:348079,9.000000
4,5,3,6,[44:-29]:344074,10.295630
4,5,3,6,[41:-30]:344872,7.211103
5,3,4,6,[43:-35]:348879,8.062258
5,3,4,6,[41:-25]:340867,10.816654
5,3,4,6,[37:-29]:344067,5.385165
4,5,3,6,[43:-27]:342471,10.630146
3,4,5,6,[44:-40]:352885,10.816654
5,3,4,6,[45:-29]:344075,11.180340
4,5,3,6,[44:-24]:340069,13.453624
5,3,4,6,[40:-25]:340866,10.295630
3,4,5,6,[43:-29]:344073,9.433981
4,5,3,6,[44:-26]:341671,12.041595
5,3,4,6,[45:-25]:340871,13.453624
4,5,3,6,[44:-28]:343273,10.816654
4,4,4,6,[44:-25]:340870,12.727922
5,3,4,6,[27:-39]:352067,9.433981
3,4,5,6,[42:-27]:342470,9.899495
4,5,3,6,[42:-31]:345674,7.615773
4,4,4,6,[45:-27]:342473,12.206556
4,5,3,6,[32:-37]:350470,4.242641
3,4,5,6,[32:-36]:349669,3.605551
4,5,3,6,[32:-35]:348868,3.162278
5,3,4,6,[27:-33]:347261,8.062258
5,3,4,6,[32:-32]:346465,3.605551
5,3,4,6,[33:-35]:348869,2.236068
5,3,4,6,[33:-34]:348068,2.000000
4,5,3,6,[42:-26]:341669,10.630146
3,4,5,6,[33:-31]:345665,3.605551
4,5,3,6,[34:-37]:350472,3.162278
3,4,5,6,[34:-35]:348870,1.414214
4,4,4,6,[35:-37]:350473,3.000000
5,3,4,6,[35:-36]:349672,2.000000
4,4,4,6,[35:-35]:348871,1.000000
5,3,4,6,[35:-33]:347269,1.000000
3,4,5,6,[35:-32]:346468,2.000000
4,4,4,6,[36:-34]:348071,1.000000
5,3,4,6,[36:-32]:346469,2.236068
3,4,5,6,[36:-31]:345668,3.162278
4,5,3,6,[37:-37]:350475,3.605551
4,5,3,6,[37:-34]:348072,2.000000
5,3,4,6,[35:-31]:345667,3.000000
5,3,4,6,[37:-33]:347271,2.236068
5,3,4,6,[38:-37]:350476,4.242641
5,3,4,6,[37:-32]:346470,2.828427
4,4,4,6,[40:-37]:350478,5.830952
4,4,4,6,[40:-32]:346473,5.385165
4,5,3,6,[38:-32]:346471,3.605551
5,3,4,6,[38:-33]:347272,3.162278
3,4,5,6,[38:-31]:345670,4.242641
5,3,4,6,[38:-36]:349675,3.605551
4,4,4,6,[34:-33]:347268,1.414214
3,4,5,6,[36:-36]:349673,2.236068
4,5,3,6,[45:-37]:350483,10.440307
3,4,5,6,[45:-24]:340070,14.142136
4,5,3,6,[37:-30]:344868,4.472136
4,4,4,6,[45:-28]:343274,11.661904
3,4,5,6,[27:-38]:351266,8.944272
